neo,desn,absolute_magnitude,magnitude_slope,epoch,mean_anomaly,argument_of_perihelion,longitude_of_the_ascending node,inclination,eccentricity,mean_motion,semi_major_axis,ref1,ref2,observations,oppostion,time_of_perihelion_passage, rms_residual,Polarization,rotation_period,computer,classification,desn,label,last _observation
0,1180,9.14,0.15,K161D,159.37212,209.27118,88.3409,7.19929,0.1576818,0.12393069,3.9842826,0,MPO370977,1622,41,1908-2015,0.48,M-v,38h,MPCLINUX,8,-1180,Rita,20151220
0,1202,10,0.15,K161D,271.95488,307.61827,49.88774,3.33425,0.1657427,0.12342752,3.9951036,0,MPO347524,1493,32,1925-2015,0.54,M-v,38h,MPCLINUX,8,-1202,Marina,20150814
0,1208,8.99,0.15,K161D,122.85582,296.68499,48.55273,33.54171,0.0919207,0.08192913,5.2502157,0,MPO370977,1020,31,1931-2015,0.5,M-v,38h,MPCLINUX,9,-1208,Troilus,20151218
0,1212,9.54,0.15,K161D,207.81063,348.15497,149.58785,7.59134,0.1917885,0.12534587,3.9542369,0,MPO370978,1438,42,1931-2015,0.54,M-v,38h,MPCLINUX,8,-1212,Francette,20151123
0,1256,9.66,0.15,K161D,288.28407,101.32006,236.95906,4.1739,0.0776772,0.12835886,3.8921134,0,MPO347525,1536,38,1930-2015,0.5,M-v,38h,MPCLINUX,8,-1256,Normannia,20150814
0,1268,9.12,0.15,K161D,82.25583,120.00655,351.02736,4.42795,0.1019713,0.12425296,3.9773903,0,MPO370978,1404,44,1930-2015,0.52,M-v,38h,MPCLINUX,8,-1268,Libya,20151218
0,1269,8.82,0.15,K161D,200.18406,18.94494,134.7241,2.75808,0.1003977,0.12764992,3.9065108,0,MPO370978,1642,49,1907-2015,0.53,M-v,38h,MPCLINUX,8,-1269,Rollandia,20151207
0,1345,9.73,0.15,K161D,242.9482,333.09593,137.45379,11.40096,0.1828748,0.12368966,3.989457,0,MPO370979,1400,33,1932-2015,0.51,M-v,38h,MPCLINUX,8,-1345,Potomac,20151219
0,1404,9.3,0.15,K161D,182.06233,60.09942,332.97521,18.00369,0.1126994,0.08069173,5.303754,0,MPO365260,934,35,1936-2016,0.54,M-v,38h,MPCLINUX,9,-1404,Ajax,20160202
0,1437,8.3,0.15,K161D,167.14128,131.61531,315.79184,20.49106,0.0444234,0.08328569,5.1930496,0,MPO347527,1243,40,1937-2015,0.49,M-v,38h,MPCLINUX,9,-1437,Diomedes,20150808
0,1439,10.45,0.15,K161D,201.829,101.60809,35.57906,4.20309,0.118189,0.12307709,4.0026834,0,MPO370980,1383,32,1937-2015,0.51,M-v,38h,MPCLINUX,8,-1439,Vogtia,20151214
0,1512,9.62,0.15,K161D,257.3524,240.04535,10.18468,6.49075,0.1479884,0.12518574,3.9576083,0,MPO370981,1547,38,1939-2015,0.52,M-v,38h,MPCLINUX,8,-1512,Oulu,20151215
0,1529,10.05,0.15,K161D,336.31761,295.17761,100.60674,9.05654,0.2010636,0.12342623,3.9951314,0,MPO370981,1232,30,1938-2015,0.52,M-v,38h,MPCLINUX,8,-1529,Oterma,20151214
0,1578,10.26,0.15,K161D,118.91157,1.94901,73.99245,0.80919,0.2388317,0.12672957,3.9254014,0,MPO365263,1594,35,1949-2016,0.5,M-v,38h,MPCLINUX,8,-1578,Kirkwood,20160215
0,1583,8.6,0.15,K161D,188.17433,188.07706,221.39183,28.5209,0.0518204,0.08489158,5.1273501,0,MPO365263,1134,38,1950-2016,0.53,M-v,38h,MPCLINUX,9,-1583,Antilochus,20160218
0,1647,10.5,0.15,K161D,34.68632,299.09757,240.31863,5.64914,0.0225194,0.08274699,5.2155635,0,MPO365264,1113,34,1951-2016,0.52,M-v,38h,MPCLINUX,9,-1647,Menelaus,20160215
0,1746,9.95,0.15,K161D,216.59461,47.55114,321.98952,8.36702,0.2068954,0.12561216,3.9486466,0,MPO365265,1380,32,1940-2016,0.49,M-v,38h,MPCLINUX,8,-1746,Brouwer,20160213
0,1748,10.65,0.15,K161D,147.75517,200.16969,125.98239,3.29753,0.2248458,0.12643505,3.9314949,0,MPO370984,1711,37,1922-2015,0.51,M-v,38h,MPCLINUX,8,-1748,Mauderli,20151223
0,1749,9.5,0.15,K161D,121.78792,113.28475,340.92522,6.09365,0.1074137,0.08435983,5.1488738,0,MPO365265,1298,30,1941-2016,0.51,M-v,38h,MPCLINUX,9,-1749,Telamon,20160217
0,1754,9.77,0.15,K161D,6.29095,109.51475,162.89885,12.15329,0.1690897,0.12604804,3.9395381,0,MPO350813,1433,37,1904-2015,0.5,M-v,38h,MPCLINUX,8,-1754,Cunningham,20151007
0,1867,8.3,0.15,K161D,178.29624,359.85708,283.70305,26.91112,0.0431657,0.08486095,5.1285837,0,MPO370985,1110,31,1971-2015,0.48,M-v,38h,MPCLINUX,9,-1867,Deiphobus,20151220
0,1868,9.6,0.15,K161D,213.14037,169.692,197.84139,16.75361,0.1086882,0.08031882,5.3201576,0,MPO370985,1065,30,1954-2015,0.51,M-v,38h,MPCLINUX,9,-1868,Thersites,20151221
0,1869,11.2,0.15,K161D,198.03565,321.13767,43.99095,3.97282,0.0659543,0.08240898,5.2298154,0,MPO370985,965,25,1960-2015,0.51,M-v,38h,MPCLINUX,9,-1869,Philoctetes,20151217
0,1870,10.7,0.15,K161D,148.72136,131.39539,176.30263,6.57593,0.0318551,0.08197694,5.2481742,0,MPO370985,1116,29,1955-2015,0.51,M-v,38h,MPCLINUX,9,-1870,Glaukos,20151217
0,1871,11.2,0.15,K161D,119.63303,164.05811,145.77599,8.59767,0.0324749,0.0818648,5.2529657,0,MPO370985,831,26,1971-2015,0.52,M-v,38h,MPCLINUX,9,-1871,Astyanax,20151218
0,1872,10.8,0.15,K161D,162.49627,116.32767,188.79226,14.64126,0.0476224,0.08036184,5.3182586,0,MPO370985,802,26,1954-2015,0.5,M-v,38h,MPCLINUX,9,-1872,Helenos,20151207
0,1873,10.2,0.15,K161D,255.11548,356.59749,197.92019,21.87885,0.0922366,0.08225094,5.2365125,0,MPO370985,1026,26,1971-2015,0.5,M-v,38h,MPCLINUX,9,-1873,Agenor,20151218
0,1877,10.9,0.15,K161D,168.84754,307.17794,352.85682,17.55617,0.2083795,0.12603863,3.9397343,0,MPO370985,1006,28,1950-2015,0.51,M-v,38h,MPCLINUX,8,-1877,Marsden,20151218
0,1902,9.51,0.15,K161D,111.06616,268.27976,59.32084,12.49585,0.2221852,0.12482833,3.9651589,0,MPO370985,1651,37,1940-2015,0.51,M-v,38h,MPCLINUX,8,-1902,Shaposhnikov,20151211
0,1911,10.11,0.15,K161D,61.42591,182.43172,285.08336,1.64039,0.1692851,0.12379208,3.9872563,0,MPO370986,1705,34,1928-2015,0.5,M-v,38h,MPCLINUX,8,-1911,Schubart,20151124
0,1941,11.8,0.15,K161D,213.14079,302.49396,60.47159,3.9556,0.2869979,0.12519006,3.9575173,0,MPO337262,1122,26,1931-2015,0.51,M-v,38h,MPCLINUX,8,-1941,Wild,20150518
0,2060,6,0.15,K161D,142.17952,339.46284,209.23196,6.9447,0.3827078,0.01957141,13.6370758,0,MPO370987,1440,46,1895-2015,0.52,M-v,38h,MPCLINUX,000A,-2060,Chiron,20151211
0,2067,10.48,0.15,K161D,116.13813,297.47608,150.24813,3.07974,0.1816542,0.12486903,3.9642974,0,MPO365269,1505,35,1936-2016,0.51,M-v,38h,MPCLINUX,8,-2067,Aksnes,20160217
0,2146,9.9,0.15,K161D,171.24151,273.64954,131.32481,39.25878,0.1010379,0.08324601,5.1946996,0,MPO365270,927,23,1976-2016,0.51,M-v,38h,MPCLINUX,9,-2146,Stentor,20160217
0,2148,10.8,0.15,K161D,176.55468,232.22356,176.59524,9.14888,0.0567506,0.08278093,5.214138,0,MPO365270,983,24,1976-2016,0.51,M-v,38h,MPCLINUX,9,-2148,Epeios,20160217
0,2207,8.89,0.15,K161D,11.99333,298.40099,159.13671,6.80813,0.0168587,0.08461276,5.1386078,0,MPO370989,1488,32,1977-2015,0.54,M-v,38h,MPCLINUX,9,-2207,Antenor,20151220
0,2223,9.41,0.15,K161D,194.49166,57.95697,220.89724,15.9595,0.0152104,0.08239053,5.230596,0,MPO370989,970,29,1977-2015,0.5,M-v,38h,MPCLINUX,9,-2223,Sarpedon,20151217
0,2241,8.64,0.15,K161D,247.9786,290.93067,267.98232,16.61942,0.0669836,0.08342893,5.1871036,0,MPO370989,1176,28,1950-2015,0.48,M-v,38h,MPCLINUX,9,-2241,Alcathous,20151220
0,2246,10.56,0.15,K161D,169.60922,21.24604,155.66735,6.49495,0.0938536,0.12515232,3.9583128,0,MPO370989,1279,29,1955-2015,0.55,M-v,38h,MPCLINUX,8,-2246,Bowell,20151202
0,2260,9.31,0.15,K161D,175.26648,321.31904,86.57342,17.77934,0.0433264,0.08323414,5.1951935,0,MPO370989,907,26,1951-2015,0.55,M-v,38h,MPCLINUX,9,-2260,Neoptolemus,20151219
0,2312,10.18,0.15,K161D,150.07929,342.14435,61.45954,5.16097,0.1547487,0.12467292,3.9684535,0,MPO370990,1366,32,1943-2015,0.51,M-v,38h,MPCLINUX,8,-2312,Duboshin,20151221
0,2357,8.94,0.15,K161D,212.65926,74.88929,179.25155,2.66884,0.0441305,0.08290391,5.20898,0,MPO370990,1490,37,1929-2015,0.55,M-v,38h,MPCLINUX,9,-2357,Phereclos,20151220
0,2363,9.11,0.15,K161D,211.00432,56.54055,211.7549,32.13413,0.0353679,0.0831464,5.1988474,0,MPO370991,1156,28,1953-2015,0.51,M-v,38h,MPCLINUX,9,-2363,Cebriones,20151212
0,2456,9.3,0.15,K161D,157.74322,95.38573,327.39348,13.90749,0.0737059,0.08483234,5.1297367,0,MPO365274,819,27,1953-2016,0.54,M-v,38h,MPCLINUX,9,-2456,Palamedes,20160219
0,2483,10.9,0.15,K161D,290.07215,183.36133,252.056,4.49896,0.2780299,0.12448266,3.9724962,0,MPO370992,945,26,1928-2015,0.59,M-v,38h,MPCLINUX,8,-2483,Guinevere,20151203
0,2594,11.8,0.15,K161D,172.57269,279.40776,356.70816,5.53313,0.0839048,0.08645751,5.0652502,0,MPO370993,722,24,1953-2015,0.51,M-v,38h,MPCLINUX,9,-2594,Acamas,20151218
0,2624,10.8,0.15,K161D,331.47511,138.3224,161.55735,2.79654,0.1168615,0.12571597,3.9464726,0,MPO347540,1497,30,1962-2015,0.51,M-v,38h,MPCLINUX,8,-2624,Samitchell,20150814
0,2674,9.1,0.15,K161D,244.80139,39.21617,179.81198,1.85491,0.0676954,0.08357359,5.1811162,0,MPO370994,1384,30,1972-2015,0.52,M-v,38h,MPCLINUX,9,-2674,Pandarus,20151220
0,2759,10,0.15,K161D,51.01343,8.49722,171.23058,21.95179,0.0665953,0.08356497,5.1814726,0,MPO365278,962,25,1955-2016,0.54,M-v,38h,MPCLINUX,9,-2759,Idomeneus,20160218
0,2760,10.04,0.15,K161D,32.84817,152.23989,352.53548,13.48904,0.1202226,0.12333261,3.9971529,0,MPO370995,972,23,1960-2015,0.51,M-v,38h,MPCLINUX,8,-2760,Kacha,20151122
0,2797,8.8,0.15,K161D,105.37985,49.11217,69.93989,22.39963,0.0882226,0.08550976,5.1026086,0,MPO365279,1014,26,1940-2016,0.51,M-v,38h,MPCLINUX,9,-2797,Teucer,20160211
0,2893,9.23,0.15,K161D,166.42085,171.83427,108.76675,14.65617,0.07547,0.08422484,5.1543741,0,MPO370996,901,31,1933-2015,0.52,M-v,38h,MPCLINUX,9,-2893,Peiroos,20151218
0,2895,10,0.15,K161D,55.14297,276.47994,133.9784,27.21788,0.0503919,0.0822352,5.2371808,0,MPO370996,822,24,1977-2015,0.49,M-v,38h,MPCLINUX,9,-2895,Memnon,20151221
0,2920,8.8,0.15,K161D,151.0921,199.24458,230.95109,21.12409,0.0260994,0.08537296,5.1080581,0,MPO365280,954,25,1981-2016,0.51,M-v,38h,MPCLINUX,9,-2920,Automedon,20160217
0,2959,11.1,0.15,K161D,4.29922,285.02922,121.24118,5.23337,0.2753172,0.12581585,3.9443836,0,MPO370997,1437,25,1968-2015,0.52,M-v,38h,MPCLINUX,8,-2959,Scholl,20151216
0,3063,8.4,0.15,K161D,101.68997,205.44954,287.87502,12.16635,0.0595067,0.0829917,5.2053061,0,MPO347545,917,29,1931-2015,0.47,M-v,38h,MPCLINUX,9,-3063,Makhaon,20150720
0,3134,10.5,0.15,K161D,332.91287,163.40979,256.98129,7.63962,0.221405,0.12393754,3.9841358,0,MPO370999,1179,30,1921-2015,0.54,M-v,38h,MPCLINUX,8,-3134,Kostinsky,20151209
0,3202,10.9,0.15,K161D,219.42349,268.81082,205.15046,11.10548,0.1152884,0.12622484,3.9358587,0,MPO370999,1074,27,1908-2015,0.53,M-v,38h,MPCLINUX,8,-3202,Graff,20151207
0,3240,10.2,0.15,K161D,138.1812,15.76506,296.27849,2.33364,0.1262243,0.08220066,5.2386474,0,MPO371000,1092,28,1976-2015,0.52,M-v,38h,MPCLINUX,9,-3240,Laocoon,20151220
0,3254,11.2,0.15,K161D,107.36813,305.61074,43.50219,4.44613,0.1660434,0.12558806,3.9491517,0,MPO371000,1348,22,1982-2015,0.49,M-v,38h,MPCLINUX,8,-3254,Bus,20151222
0,3290,12.1,0.15,K161D,303.22992,112.45591,75.23477,2.77006,0.1269696,0.12490304,3.9635777,0,MPO371000,1378,28,1954-2015,0.5,M-v,38h,MPCLINUX,8,-3290,Azabu,20151223
0,3317,8.4,0.15,K161D,179.13499,150.20208,135.8966,27.86055,0.1261454,0.08255913,5.2234726,0,MPO371001,922,25,1963-2015,0.45,M-v,38h,MPCLINUX,9,-3317,Paris,20151207
0,3391,10.3,0.15,K161D,135.42579,103.54415,341.13637,14.86992,0.0823871,0.08072635,5.3022374,0,MPO347548,719,22,1955-2015,0.51,M-v,38h,MPCLINUX,9,-3391,Sinon,20150525
0,3415,11,0.15,K161D,10.77011,136.72947,253.96566,1.36664,0.2493232,0.12486666,3.9643475,0,MPO371002,1660,25,1928-2015,0.49,M-v,38h,MPCLINUX,8,-3415,Danby,20151212
0,3451,8.4,0.15,K161D,166.83046,133.07579,179.66052,24.66156,0.070425,0.08486086,5.1285873,0,MPO371002,1076,27,1983-2015,0.52,M-v,38h,MPCLINUX,9,-3451,Mentor,20151208
0,3514,11.7,0.15,K161D,258.10606,341.8975,24.32265,3.50555,0.1913448,0.12539369,3.9532316,0,MPO344327,1125,23,1971-2015,0.51,M-v,38h,MPCLINUX,8,-3514,Hooke,20150805
0,3540,9.3,0.15,K161D,89.44591,116.44098,26.43824,23.29698,0.1179823,0.08144807,5.2708687,0,MPO347549,877,23,1953-2015,0.48,M-v,38h,MPCLINUX,9,-3540,Protesilaos,20150611
0,3548,9.7,0.15,K161D,170.26095,28.12369,43.56706,8.06355,0.0892292,0.08340046,5.188284,0,MPO344328,1015,25,1954-2015,0.51,M-v,38h,MPCLINUX,9,-3548,Eurybates,20150805
0,3557,10.9,0.15,K161D,319.05529,122.10518,185.84268,6.04946,0.1722308,0.12313378,4.0014547,0,MPO347550,1286,22,1977-2015,0.51,M-v,38h,MPCLINUX,8,-3557,Sokolsky,20150813
0,3561,11,0.15,K161D,346.44189,176.13306,117.85901,9.68408,0.1284615,0.12521241,3.9570463,0,MPO347550,1134,26,1954-2015,0.5,M-v,38h,MPCLINUX,8,-3561,Devine,20150813
0,3564,9.4,0.15,K161D,345.15073,203.34047,23.78847,15.5081,0.0409089,0.08294422,5.2072923,0,MPO365288,1108,29,1950-2016,0.52,M-v,38h,MPCLINUX,9,-3564,Talthybius,20160212
0,3571,10.9,0.15,K161D,41.76954,20.50219,248.9849,7.85274,0.1114556,0.12597896,3.9409783,0,MPO355128,1055,26,1953-2015,0.52,M-v,38h,MPCLINUX,8,-3571,Milanstefanik,20151005
0,3577,10.4,0.15,K161D,243.89659,179.73917,280.20603,3.74147,0.1972155,0.12565613,3.9477254,0,MPO371003,1272,25,1961-2015,0.49,M-v,38h,MPCLINUX,8,-3577,Putilin,20151207
0,3596,9.2,0.15,K161D,172.59926,67.15723,356.69715,23.53122,0.0733511,0.08394885,5.1656647,0,MPO344328,878,25,1950-2015,0.5,M-v,38h,MPCLINUX,9,-3596,Meriones,20150715
0,3655,10.9,0.15,K161D,230.44774,39.69691,338.05312,3.82263,0.2003494,0.12259878,4.0130873,0,MPO337281,1073,26,1954-2015,0.51,M-v,38h,MPCLINUX,8,-3655,Eupraksia,20150518
0,3694,10.5,0.15,K161D,352.67323,80.771,311.08883,4.97595,0.2059089,0.12630796,3.9341317,0,MPO371004,1221,23,1960-2015,0.52,M-v,38h,MPCLINUX,8,-3694,Sharon,20151214
0,3708,9.2,0.15,K161D,109.94441,57.99331,291.17467,13.36948,0.1583327,0.0827012,5.2174886,0,MPO371005,907,24,1930-2015,0.49,M-v,38h,MPCLINUX,9,-3708,1974 FV1,20151220
0,3709,9,0.15,K161D,136.53014,247.13201,187.14704,19.62302,0.0600847,0.08208493,5.2435701,0,MPO371005,979,25,1985-2015,0.52,M-v,38h,MPCLINUX,9,-3709,Polypoites,20151218
0,3793,8.7,0.15,K161D,128.30407,263.15445,200.53928,20.90707,0.0899049,0.0828342,5.2119021,0,MPO365292,1050,31,1961-2016,0.55,M-v,38h,MPCLINUX,9,-3793,Leonteus,20160218
0,3794,10.4,0.15,K161D,207.1295,35.44722,343.26564,6.06143,0.1454658,0.0829713,5.2061594,0,MPO365292,931,27,1949-2016,0.52,M-v,38h,MPCLINUX,9,-3794,Sthenelos,20160212
0,3801,11,0.15,K161D,164.33199,207.03566,209.48108,28.50053,0.0221222,0.08022125,5.3244706,0,MPO365292,657,24,1954-2016,0.51,M-v,38h,MPCLINUX,9,-3801,Thrasymedes,20160215
0,3843,10.7,0.15,K161D,302.76547,24.36079,28.31502,3.92581,0.1441238,0.1235058,3.9934154,0,MPO371006,1347,23,1953-2015,0.53,M-v,38h,MPCLINUX,8,-3843,OISCA,20151219
0,3923,11.6,0.15,K161D,311.50952,283.19974,152.10549,3.49282,0.222926,0.12498671,3.9618085,0,MPO371007,1209,23,1976-2015,0.56,M-v,38h,MPCLINUX,8,-3923,Radzievskij,20151212
0,3990,10.8,0.15,K161D,194.71294,197.90284,192.66573,9.49673,0.2400874,0.1260554,3.9393849,0,MPO365294,1160,23,1972-2016,0.51,M-v,38h,MPCLINUX,8,-3990,Heimdal,20160215
0,4007,10.3,0.15,K161D,146.01853,78.41527,6.77989,11.00429,0.0561814,0.08377473,5.17282,0,MPO347554,1027,21,1973-2015,0.52,M-v,38h,MPCLINUX,9,-4007,Euryalos,20150806
0,4035,9.6,0.15,K161D,147.51321,198.28625,233.73967,12.13235,0.0558507,0.08112441,5.2848785,0,MPO365295,863,26,1973-2016,0.53,M-v,38h,MPCLINUX,9,-4035,1986 WD,20160217
0,4057,10.1,0.15,K161D,131.84828,59.1178,24.44189,2.87306,0.1181948,0.08164799,5.2622612,0,MPO365295,1100,24,1985-2016,0.53,M-v,38h,MPCLINUX,9,-4057,Demophon,20160214
0,4060,9.4,0.15,K161D,100.98714,307.50369,168.24983,16.14804,0.1543204,0.08201258,5.2466537,0,MPO365295,980,24,1942-2016,0.57,M-v,38h,MPCLINUX,9,-4060,Deipylos,20160218
0,4063,8.7,0.15,K161D,157.47706,318.6831,113.51567,18.93947,0.1182581,0.08354553,5.1822764,0,MPO365295,1005,23,1943-2016,0.49,M-v,38h,MPCLINUX,9,-4063,Euforbo,20160218
0,4068,9.5,0.15,K161D,74.10961,317.66176,177.70039,17.56042,0.0733305,0.08432994,5.1500906,0,MPO371009,897,24,1973-2015,0.53,M-v,38h,MPCLINUX,9,-4068,Menestheus,20151214
0,4086,9.1,0.15,K161D,188.76243,357.076,54.97857,21.70897,0.1206769,0.08179021,5.256159,0,MPO365296,886,23,1951-2016,0.45,M-v,38h,MPCLINUX,9,-4086,Podalirius,20160211
0,4138,10,0.15,K161D,215.5322,164.76727,208.02598,2.09944,0.042913,0.08403532,5.1621206,0,MPO365296,1318,28,1956-2016,0.5,M-v,38h,MPCLINUX,9,-4138,Kalchas,20160217
0,4196,10.9,0.15,K161D,107.67877,198.49479,167.10459,1.50206,0.0440833,0.12798692,3.8996503,0,MPO371010,1592,28,1955-2015,0.5,M-v,38h,MPCLINUX,8,-4196,Shuya,20151223
0,4230,11.8,0.15,K161D,323.53096,22.90509,160.53359,3.09949,0.1337258,0.12536886,3.9537537,0,MPO371011,1253,27,1951-2015,0.48,M-v,38h,MPCLINUX,8,-4230,van den Bergh,20151220
0,4255,13.1,0.15,K161D,232.67586,75.56969,183.91729,2.60926,0.1529157,0.12451677,3.9717706,0,MPO371011,602,19,1977-2015,0.49,M-v,38h,MPCLINUX,8,-4255,Spacewatch,20151223
0,4317,10.9,0.15,K161D,207.94944,94.89088,38.4752,9.81768,0.1621438,0.12335813,3.9966016,0,MPO371012,1019,20,1980-2015,0.5,M-v,38h,MPCLINUX,8,-4317,Garibaldi,20151209
0,4348,9.6,0.15,K161D,75.91556,160.43579,220.11585,7.9576,0.0979833,0.08215365,5.2406456,0,MPO371012,1231,27,1953-2015,0.52,M-v,38h,MPCLINUX,9,-4348,Poulydamas,20151220
0,4446,11.2,0.15,K161D,337.47994,117.01394,189.03089,7.2389,0.2802196,0.12378346,3.9874414,0,MPO344336,1235,23,1977-2015,0.49,M-v,38h,MPCLINUX,8,-4446,Carolyn,20150814
0,4489,9.1,0.15,K161D,107.11011,8.02074,86.56359,22.20697,0.0575374,0.08254184,5.2242019,0,MPO371014,944,23,1980-2015,0.48,M-v,38h,MPCLINUX,9,-4489,1988 AK,20151218
0,4495,11.5,0.15,K161D,161.58964,210.54101,223.45644,5.28387,0.1448748,0.1252337,3.9565978,0,MPO365301,901,19,1987-2015,0.51,M-v,38h,MPCLINUX,8,-4495,Dassanowsky,20150806
0,4501,10.4,0.15,K161D,173.90431,181.09544,244.27623,8.30482,0.0526089,0.08299994,5.2049616,0,MPO344336,952,23,1951-2015,0.5,M-v,38h,MPCLINUX,9,-4501,Eurypylos,20150814
0,4543,9.8,0.15,K161D,191.93941,85.41815,325.39187,14.71112,0.0956958,0.08507084,5.1201448,0,MPO340728,833,22,1955-2015,0.51,M-v,38h,MPCLINUX,9,-4543,Phoinix,20150622
0,4707,10.5,0.15,K161D,89.67032,66.79367,310.20861,7.10305,0.1234141,0.08346242,5.185716,0,MPO371015,972,24,1953-2015,0.51,M-v,38h,MPCLINUX,9,-4707,Khryses,20151223
0,4708,9.9,0.15,K161D,57.55515,104.74533,281.15875,6.98301,0.0596571,0.08166891,5.2613624,0,MPO371015,1110,22,1988-2015,0.5,M-v,38h,MPCLINUX,9,-4708,Polydoros,20151217
0,4709,8.6,0.15,K161D,135.77169,89.15475,253.15927,25.45478,0.0220265,0.08218136,5.2394678,0,MPO371016,985,25,1951-2015,0.45,M-v,38h,MPCLINUX,9,-4709,Ennomos,20151217
0,4715,9.7,0.15,K161D,111.46272,346.26438,1.6085,18.65806,0.0495595,0.08535993,5.108578,0,MPO371016,929,21,1954-2015,0.47,M-v,38h,MPCLINUX,9,-4715,1989 TS1,20151218
0,4722,10,0.15,K161D,74.77005,315.80067,64.99594,8.81542,0.1120637,0.08295239,5.2069506,0,MPO371016,1067,23,1977-2015,0.51,M-v,38h,MPCLINUX,9,-4722,Agelaos,20151218
0,4754,10,0.15,K161D,118.80923,202.92131,155.05986,12.32705,0.0103943,0.08222745,5.2375096,0,MPO371016,890,25,1977-2015,0.52,M-v,38h,MPCLINUX,9,-4754,Panthoos,20151216
