"","V1","V2"
"I(troot(I(I(HostStarMassSlrMass)*I(I(PeriodDays)*I(PeriodDays)))))","I(troot(I(I(HostStarMassSlrMass)*I(I(PeriodDays)*I(PeriodDays)))))","6"
"I(troot(I(I(HostStarRadiusSlrRad)*I(I(PeriodDays)*I(PeriodDays)))))","I(troot(I(I(HostStarRadiusSlrRad)*I(I(PeriodDays)*I(PeriodDays)))))","11"
"I(troot(I(I(HostStarTempK)*I(I(PeriodDays)*I(PeriodDays)))))","I(troot(I(I(HostStarTempK)*I(I(PeriodDays)*I(PeriodDays)))))","2"
"I(troot(I(I(I(HostStarMassSlrMass)*I(PeriodDays))*I(PeriodDays))))","I(troot(I(I(I(HostStarMassSlrMass)*I(PeriodDays))*I(PeriodDays))))","4"
"I(troot(I(I(I(HostStarRadiusSlrRad)*I(PeriodDays))*I(PeriodDays))))","I(troot(I(I(I(HostStarRadiusSlrRad)*I(PeriodDays))*I(PeriodDays))))","3"
"I(troot(I(I(I(HostStarTempK)*I(PeriodDays))*I(I(HostStarTempK)*I(PeriodDays)))))","I(troot(I(I(I(HostStarTempK)*I(PeriodDays))*I(I(HostStarTempK)*I(PeriodDays)))))","3"
"I(troot(I(I(I(HostStarTempK)*I(PeriodDays))*I(PeriodDays))))","I(troot(I(I(I(HostStarTempK)*I(PeriodDays))*I(PeriodDays))))","2"
"I(troot(I(I(I(PeriodDays)*I(HostStarMassSlrMass))*I(PeriodDays))))","I(troot(I(I(I(PeriodDays)*I(HostStarMassSlrMass))*I(PeriodDays))))","10"
"I(troot(I(I(I(PeriodDays)*I(HostStarRadiusSlrRad))*I(PeriodDays))))","I(troot(I(I(I(PeriodDays)*I(HostStarRadiusSlrRad))*I(PeriodDays))))","7"
"I(troot(I(I(I(PeriodDays)*I(HostStarTempK))*I(PeriodDays))))","I(troot(I(I(I(PeriodDays)*I(HostStarTempK))*I(PeriodDays))))","4"
"I(troot(I(I(I(PeriodDays)*I(PeriodDays))*I(HostStarMassSlrMass))))","I(troot(I(I(I(PeriodDays)*I(PeriodDays))*I(HostStarMassSlrMass))))","7"
"I(troot(I(I(I(PeriodDays)*I(PeriodDays))*I(HostStarRadiusSlrRad))))","I(troot(I(I(I(PeriodDays)*I(PeriodDays))*I(HostStarRadiusSlrRad))))","3"
"I(troot(I(I(I(PeriodDays)*I(PeriodDays))*I(HostStarTempK))))","I(troot(I(I(I(PeriodDays)*I(PeriodDays))*I(HostStarTempK))))","2"
"I(troot(I(I(PeriodDays)*I(I(HostStarMassSlrMass)*I(PeriodDays)))))","I(troot(I(I(PeriodDays)*I(I(HostStarMassSlrMass)*I(PeriodDays)))))","4"
"I(troot(I(I(PeriodDays)*I(I(HostStarRadiusSlrRad)*I(PeriodDays)))))","I(troot(I(I(PeriodDays)*I(I(HostStarRadiusSlrRad)*I(PeriodDays)))))","7"
"I(troot(I(I(PeriodDays)*I(I(HostStarTempK)*I(PeriodDays)))))","I(troot(I(I(PeriodDays)*I(I(HostStarTempK)*I(PeriodDays)))))","1"
"I(troot(I(I(PeriodDays)*I(I(PeriodDays)*I(HostStarMassSlrMass)))))","I(troot(I(I(PeriodDays)*I(I(PeriodDays)*I(HostStarMassSlrMass)))))","4"
"I(troot(I(I(PeriodDays)*I(I(PeriodDays)*I(HostStarRadiusSlrRad)))))","I(troot(I(I(PeriodDays)*I(I(PeriodDays)*I(HostStarRadiusSlrRad)))))","7"
"I(troot(I(I(PeriodDays)*I(I(PeriodDays)*I(HostStarTempK)))))","I(troot(I(I(PeriodDays)*I(I(PeriodDays)*I(HostStarTempK)))))","2"
"I(troot(I(I(PeriodDays)*I(PeriodDays))))","I(troot(I(I(PeriodDays)*I(PeriodDays))))","32"
