"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"11","I(V37)","0.999999999999999","I(V40)","0.0279928965047913","I((V7)&(((V10)&(V4))&(V30)))","0.00101357869448802","I((V37)&((V20)&(V7)))","1","I(V49)","0.197992131212814","I(V43)","0.387002279453246","I((V4)&(V14))","0.0370651161588547","I(V33)","0.988090413827343","I(V42)","0.0936091461802696","I(((V17)&(V4))&((V10)&(V30)))","0.999999999999998"
"12","I((V30)&(V31))","0.00108077229241093","I(V50)","0.772878965121071","I((V20)&(V12))","0.999999999999999","I((V20)&(V7))","1","I((V20)&(V4))","0.00164198955567576","I((V2)&(V12))","0.00101875528589055","I((V20)&((V30)&(V12)))","0.999999999999998","I(V37)","1","I((V12)&(V7))","1","I((V17)&((V2)&(V9)))","0.0016929944534026"
"13","I((V9)&(V2))","0.999999999999999","I((V37)&(V7))","0.00542218592597304","I(((V20)&(V37))&(V12))","0.999374756895423","I((V20)&(((V12)&(V22))&(V7)))","1","I((V10)&(V38))","0.00548601753113978","I((V2)&((V12)&((V4)&((V10)&(V20)))))","0.000648138022858462","I((V17)&((V10)&(V42)))","0.999996968082391","I(V50)","0.00391975416198512","I((V12)&(V18))","0.014631681402825","I((V2)&(V9))","0.999999999999998"
"14","I((V31)&(V10))","0.00268541575339827","I((V20)&(V40))","0.952627546648531","I((V10)&(V17))","0.999999999999997","I((V30)&((V10)&(V17)))","1","I((V2)&(V9))","1","I((V12)&((V2)&(V9)))","0.999999999998536","I((V30)&(V12))","0.99999999881404","I(((V17)&(V30))&(V47))","0.979698254665254","I((V12)&(V3))","0.0180977979182492","I((V4)&(V2))","0.00100059404813777"
"15","I((V17)&(V22))","0.00158712631346398","I((V9)&(V12))","0.00161478252634309","I((V7)&((V20)&(V9)))","0.999999999999984","I((V12)&(V22))","0.999998922695056","I((V17)&(V20))","0.999999999999995","I((V20)&(((V12)&((V2)&(V9)))&(V7)))","0.999999999999997","I((V30)&(V10))","0.999963666373796","I((V7)&(V12))","1","I(((V37)&(V4))&(V10))","0.999999455936074","I((V2)&(V20))","0.999999999999998"
"16","I((V37)&(V12))","0.00203984084270786","I((V20)&(V4))","0.00131427113549612","I(((V10)&(V4))&(V30))","0.999999999999999","I((V30)&((V2)&(V9)))","0.00143837373434487","I((V4)&(V29))","0.00101255193609096","I((V2)&(V9))","0.999999999999997","I(((V2)&(V9))&(V14))","0.00379425935449062","I((V17)&(V30))","0.999999999995628","I((V30)&((V20)&((V2)&((V10)&(V12)))))","0.999999999999852","I((V7)&((V2)&(V20)))","0.999999999999998"
"17","I((V20)&((V7)&(V12)))","0.999999999999999","I((V9)&(V10))","0.251158954547895","I((V2)&(((V20)&(V37))&(V12)))","0.999876761748673","I((V37)&(V12))","1","I((V12)&((V7)&((V17)&(V20))))","1","I((V30)&(V10))","0.999999999999997","I((V7)&(V12))","0.999999999999998","I((V30)&(V4))","0.999999999955781","I((V4)&((V9)&(V14)))","0.025912653131589","I((V12)&(V7))","0.999999999999998"
"18","I((V4)&(((V10)&(V17))&((V30)&(V10))))","0.999999999999999","I((V40)&(V30))","0.0203447768399232","I((V2)&(V10))","0.00113646037419329","I((V2)&(V9))","1","I((V4)&(V30))","0.999999999950367","I((V12)&((V4)&((V10)&(V20))))","0.999999999586341","I((V17)&(V4))","0.999999999995846","I((V11)&(V30))","0.98409330118945","I((V20)&((V17)&((V7)&(V10))))","0.999999999935879","I(((V7)&((V2)&(V20)))&(V18))","0.0311119620817799"
"19","I(((V37)&(V12))&(V31))","0.00102818540347117","I((V50)&(V4))","0.0991953627284028","I((V17)&(V12))","0.00347793680528427","I((V10)&((V30)&(V4)))","1","I((V37)&(V4))","0.00216770256617171","I((V4)&((V30)&(V17)))","0.999999999999997","I((V2)&(V9))","0.999999999999998","I((V7)&(V20))","1","I((V30)&(V4))","0.999999999999944","I(((V12)&(V7))&(V28))","0.00208432683437178"
"20","I((V30)&(V4))","0.0010875323768869","I((V4)&(V17))","0.999999962952785","I(((V2)&(((V20)&(V37))&(V12)))&(V7))","0.999999999999999","I(((V37)&(V12))&((V20)&(V7)))","1","I((V4)&((V17)&(V10)))","1","I((V7)&((V2)&(V9)))","0.999998013890788","I((V17)&(V30))","0.999999994384247","I((V7)&(V37))","0.00104521016902193","I((V9)&(V2))","1","I((V2)&(V7))","0.999999999999674"
