"","V1","V2"
"I(I(I(RadiusJpt)*I(I(RadiusJpt)*I(PlanetaryDensJpt)))*I(RadiusJpt))","I(I(I(RadiusJpt)*I(I(RadiusJpt)*I(PlanetaryDensJpt)))*I(RadiusJpt))","9"
"I(I(I(RadiusJpt)*I(PlanetaryDensJpt))*I(to23(I(RadiusJpt))))","I(I(I(RadiusJpt)*I(PlanetaryDensJpt))*I(to23(I(RadiusJpt))))","1"
"I(I(I(sini(I(I(PlanetaryDensJpt)*I(RadiusJpt))))*I(RadiusJpt))*I(RadiusJpt))","I(I(I(sini(I(I(PlanetaryDensJpt)*I(RadiusJpt))))*I(RadiusJpt))*I(RadiusJpt))","1"
"I(I(PlanetaryDensJpt)*I(expi(I(RadiusJpt))))","I(I(PlanetaryDensJpt)*I(expi(I(RadiusJpt))))","1"
"I(I(PlanetaryDensJpt)*I(PeriodDays))","I(I(PlanetaryDensJpt)*I(PeriodDays))","1"
"I(I(PlanetaryDensJpt)*I(RadiusJpt))","I(I(PlanetaryDensJpt)*I(RadiusJpt))","6"
"I(I(PlanetaryDensJpt)*I(sini(I(RadiusJpt))))","I(I(PlanetaryDensJpt)*I(sini(I(RadiusJpt))))","1"
"I(I(PlanetaryDensJpt)*I(to23(I(RadiusJpt))))","I(I(PlanetaryDensJpt)*I(to23(I(RadiusJpt))))","4"
"I(I(PlanetaryDensJpt)*I(to35(I(RadiusJpt))))","I(I(PlanetaryDensJpt)*I(to35(I(RadiusJpt))))","7"
"I(I(RadiusJpt)*I(I(I(PlanetaryDensJpt)*I(RadiusJpt))*I(RadiusJpt)))","I(I(RadiusJpt)*I(I(I(PlanetaryDensJpt)*I(RadiusJpt))*I(RadiusJpt)))","5"
"I(I(RadiusJpt)*I(I(I(RadiusJpt)*I(PlanetaryDensJpt))*I(HostStarMassSlrMass)))","I(I(RadiusJpt)*I(I(I(RadiusJpt)*I(PlanetaryDensJpt))*I(HostStarMassSlrMass)))","1"
"I(I(RadiusJpt)*I(I(I(RadiusJpt)*I(PlanetaryDensJpt))*I(RadiusJpt)))","I(I(RadiusJpt)*I(I(I(RadiusJpt)*I(PlanetaryDensJpt))*I(RadiusJpt)))","7"
"I(I(RadiusJpt)*I(I(I(RadiusJpt)*I(RadiusJpt))*I(PlanetaryDensJpt)))","I(I(RadiusJpt)*I(I(I(RadiusJpt)*I(RadiusJpt))*I(PlanetaryDensJpt)))","1"
"I(I(RadiusJpt)*I(I(PlanetaryDensJpt)*I(I(HostStarRadiusSlrRad)*I(RadiusJpt))))","I(I(RadiusJpt)*I(I(PlanetaryDensJpt)*I(I(HostStarRadiusSlrRad)*I(RadiusJpt))))","1"
"I(I(RadiusJpt)*I(I(PlanetaryDensJpt)*I(I(RadiusJpt)*I(RadiusJpt))))","I(I(RadiusJpt)*I(I(PlanetaryDensJpt)*I(I(RadiusJpt)*I(RadiusJpt))))","3"
"I(I(RadiusJpt)*I(I(PlanetaryDensJpt)*I(to23(I(RadiusJpt)))))","I(I(RadiusJpt)*I(I(PlanetaryDensJpt)*I(to23(I(RadiusJpt)))))","1"
"I(I(RadiusJpt)*I(I(RadiusJpt)*I(I(PlanetaryDensJpt)*I(RadiusJpt))))","I(I(RadiusJpt)*I(I(RadiusJpt)*I(I(PlanetaryDensJpt)*I(RadiusJpt))))","4"
"I(I(RadiusJpt)*I(I(RadiusJpt)*I(I(RadiusJpt)*I(PlanetaryDensJpt))))","I(I(RadiusJpt)*I(I(RadiusJpt)*I(I(RadiusJpt)*I(PlanetaryDensJpt))))","4"
"I(I(RadiusJpt)*I(I(RadiusJpt)*I(PlanetaryDensJpt)))","I(I(RadiusJpt)*I(I(RadiusJpt)*I(PlanetaryDensJpt)))","1"
"I(I(sigmoid(I(RadiusJpt)))*I(PlanetaryDensJpt))","I(I(sigmoid(I(RadiusJpt)))*I(PlanetaryDensJpt))","1"
"I(I(sini(I(RadiusJpt)))*I(PlanetaryDensJpt))","I(I(sini(I(RadiusJpt)))*I(PlanetaryDensJpt))","2"
"I(I(to23(I(RadiusJpt)))*I(I(RadiusJpt)*I(PlanetaryDensJpt)))","I(I(to23(I(RadiusJpt)))*I(I(RadiusJpt)*I(PlanetaryDensJpt)))","1"
"I(I(to35(I(RadiusJpt)))*I(PlanetaryDensJpt))","I(I(to35(I(RadiusJpt)))*I(PlanetaryDensJpt))","16"
"I(PeriodDays)","I(PeriodDays)","2"
"I(PlanetaryDensJpt)","I(PlanetaryDensJpt)","5"
"I(RadiusJpt)","I(RadiusJpt)","3"
"I(SemiMajorAxisAU)","I(SemiMajorAxisAU)","2"
"I(sini(I(I(HostStarRadiusSlrRad)*I(I(PlanetaryDensJpt)*I(I(HostStarRadiusSlrRad)*I(RadiusJpt))))))","I(sini(I(I(HostStarRadiusSlrRad)*I(I(PlanetaryDensJpt)*I(I(HostStarRadiusSlrRad)*I(RadiusJpt))))))","1"
"I(sini(I(I(RadiusJpt)*I(I(PlanetaryDensJpt)*I(I(HostStarRadiusSlrRad)*I(RadiusJpt))))))","I(sini(I(I(RadiusJpt)*I(I(PlanetaryDensJpt)*I(I(HostStarRadiusSlrRad)*I(RadiusJpt))))))","1"
