"","V1","V2"
"I(I(eccentricity)*I(semi_major_axis))","I(I(eccentricity)*I(semi_major_axis))","4"
"I(I(inclination)*I(absolute_magnitude))","I(I(inclination)*I(absolute_magnitude))","3"
"I(I(inclination)*I(eccentricity))","I(I(inclination)*I(eccentricity))","2"
"I(I(inclination)*I(inclination))","I(I(inclination)*I(inclination))","1"
"I(I(inclination)*I(mean_motion))","I(I(inclination)*I(mean_motion))","3"
"I(I(inclination)*I(rms_residual))","I(I(inclination)*I(rms_residual))","1"
"I(I(inclination)*I(semi_major_axis))","I(I(inclination)*I(semi_major_axis))","1"
"I(I(longitude_of_the_ascending.node)*I(absolute_magnitude))","I(I(longitude_of_the_ascending.node)*I(absolute_magnitude))","1"
"I(I(longitude_of_the_ascending.node)*I(semi_major_axis))","I(I(longitude_of_the_ascending.node)*I(semi_major_axis))","2"
"I(I(mean_anomaly)*I(absolute_magnitude))","I(I(mean_anomaly)*I(absolute_magnitude))","1"
"I(I(mean_anomaly)*I(eccentricity))","I(I(mean_anomaly)*I(eccentricity))","3"
"I(I(mean_motion)*I(absolute_magnitude))","I(I(mean_motion)*I(absolute_magnitude))","1"
"I(I(mean_motion)*I(eccentricity))","I(I(mean_motion)*I(eccentricity))","2"
"I(I(mean_motion)*I(inclination))","I(I(mean_motion)*I(inclination))","1"
"I(I(mean_motion)*I(mean_motion))","I(I(mean_motion)*I(mean_motion))","6"
"I(I(mean_motion)*I(semi_major_axis))","I(I(mean_motion)*I(semi_major_axis))","5"
"I(I(rms_residual)*I(eccentricity))","I(I(rms_residual)*I(eccentricity))","4"
"I(I(rms_residual)*I(inclination))","I(I(rms_residual)*I(inclination))","3"
"I(I(rms_residual)*I(mean_anomaly))","I(I(rms_residual)*I(mean_anomaly))","1"
"I(I(rms_residual)*I(rms_residual))","I(I(rms_residual)*I(rms_residual))","1"
"I(I(semi_major_axis)*I(argument_of_perihelion))","I(I(semi_major_axis)*I(argument_of_perihelion))","2"
"I(I(semi_major_axis)*I(inclination))","I(I(semi_major_axis)*I(inclination))","2"
"I(I(semi_major_axis)*I(longitude_of_the_ascending.node))","I(I(semi_major_axis)*I(longitude_of_the_ascending.node))","1"
"I(I(semi_major_axis)*I(mean_anomaly))","I(I(semi_major_axis)*I(mean_anomaly))","2"
"I(I(semi_major_axis)*I(mean_motion))","I(I(semi_major_axis)*I(mean_motion))","5"
"I(I(semi_major_axis)*I(semi_major_axis))","I(I(semi_major_axis)*I(semi_major_axis))","2"
"I(inclination)","I(inclination)","100"
"I(longitude_of_the_ascending.node)","I(longitude_of_the_ascending.node)","99"
"I(mean_anomaly)","I(mean_anomaly)","100"
"I(mean_motion)","I(mean_motion)","100"
"I(rms_residual)","I(rms_residual)","99"
"I(semi_major_axis)","I(semi_major_axis)","100"
"I(sigmoid(I(absolute_magnitude)))","I(sigmoid(I(absolute_magnitude)))","5"
"I(sigmoid(I(argument_of_perihelion)))","I(sigmoid(I(argument_of_perihelion)))","1"
"I(sigmoid(I(eccentricity)))","I(sigmoid(I(eccentricity)))","4"
"I(sigmoid(I(inclination)))","I(sigmoid(I(inclination)))","1"
"I(sigmoid(I(mean_motion)))","I(sigmoid(I(mean_motion)))","1"
"I(sigmoid(I(rms_residual)))","I(sigmoid(I(rms_residual)))","1"
"I(sigmoid(I(semi_major_axis)))","I(sigmoid(I(semi_major_axis)))","6"
"I(sini(I(absolute_magnitude)))","I(sini(I(absolute_magnitude)))","4"
"I(sini(I(eccentricity)))","I(sini(I(eccentricity)))","7"
"I(sini(I(inclination)))","I(sini(I(inclination)))","2"
"I(sini(I(mean_motion)))","I(sini(I(mean_motion)))","5"
"I(sini(I(semi_major_axis)))","I(sini(I(semi_major_axis)))","6"
"I(tanh(I(absolute_magnitude)))","I(tanh(I(absolute_magnitude)))","2"
"I(tanh(I(eccentricity)))","I(tanh(I(eccentricity)))","10"
"I(tanh(I(inclination)))","I(tanh(I(inclination)))","4"
"I(tanh(I(mean_anomaly)))","I(tanh(I(mean_anomaly)))","2"
"I(tanh(I(mean_motion)))","I(tanh(I(mean_motion)))","7"
"I(tanh(I(semi_major_axis)))","I(tanh(I(semi_major_axis)))","4"
"I(troot(I(absolute_magnitude)))","I(troot(I(absolute_magnitude)))","7"
"I(troot(I(eccentricity)))","I(troot(I(eccentricity)))","9"
"I(troot(I(inclination)))","I(troot(I(inclination)))","5"
"I(troot(I(longitude_of_the_ascending.node)))","I(troot(I(longitude_of_the_ascending.node)))","1"
"I(troot(I(mean_anomaly)))","I(troot(I(mean_anomaly)))","1"
"I(troot(I(mean_motion)))","I(troot(I(mean_motion)))","5"
"I(troot(I(rms_residual)))","I(troot(I(rms_residual)))","2"
"I(troot(I(semi_major_axis)))","I(troot(I(semi_major_axis)))","8"
