"","V1","V2"
"I(I(RadiusJpt)*I(I(I(PlanetaryDensJpt)*I(RadiusJpt))*I(RadiusJpt)))","I(I(RadiusJpt)*I(I(I(PlanetaryDensJpt)*I(RadiusJpt))*I(RadiusJpt)))","2"
"I(I(RadiusJpt)*I(I(I(RadiusJpt)*I(HostStarMassSlrMass))*I(I(RadiusJpt)*I(PlanetaryDensJpt))))","I(I(RadiusJpt)*I(I(I(RadiusJpt)*I(HostStarMassSlrMass))*I(I(RadiusJpt)*I(PlanetaryDensJpt))))","1"
"I(I(RadiusJpt)*I(I(I(RadiusJpt)*I(PlanetaryDensJpt))*I(RadiusJpt)))","I(I(RadiusJpt)*I(I(I(RadiusJpt)*I(PlanetaryDensJpt))*I(RadiusJpt)))","3"
"I(I(RadiusJpt)*I(I(I(RadiusJpt)*I(RadiusJpt))*I(PlanetaryDensJpt)))","I(I(RadiusJpt)*I(I(I(RadiusJpt)*I(RadiusJpt))*I(PlanetaryDensJpt)))","2"
"I(I(RadiusJpt)*I(I(PlanetaryDensJpt)*I(I(RadiusJpt)*I(RadiusJpt))))","I(I(RadiusJpt)*I(I(PlanetaryDensJpt)*I(I(RadiusJpt)*I(RadiusJpt))))","1"
"I(I(RadiusJpt)*I(I(PlanetaryDensJpt)*I(RadiusJpt)))","I(I(RadiusJpt)*I(I(PlanetaryDensJpt)*I(RadiusJpt)))","1"
"I(I(RadiusJpt)*I(I(PlanetaryDensJpt)*I(troot(I(sini(I(RadiusJpt)))))))","I(I(RadiusJpt)*I(I(PlanetaryDensJpt)*I(troot(I(sini(I(RadiusJpt)))))))","1"
"I(I(RadiusJpt)*I(I(RadiusJpt)*I(I(I(HostStarTempK)*I(PlanetaryDensJpt))*I(RadiusJpt))))","I(I(RadiusJpt)*I(I(RadiusJpt)*I(I(I(HostStarTempK)*I(PlanetaryDensJpt))*I(RadiusJpt))))","1"
"I(I(RadiusJpt)*I(I(RadiusJpt)*I(I(PlanetaryDensJpt)*I(RadiusJpt))))","I(I(RadiusJpt)*I(I(RadiusJpt)*I(I(PlanetaryDensJpt)*I(RadiusJpt))))","10"
"I(I(RadiusJpt)*I(I(RadiusJpt)*I(I(RadiusJpt)*I(PlanetaryDensJpt))))","I(I(RadiusJpt)*I(I(RadiusJpt)*I(I(RadiusJpt)*I(PlanetaryDensJpt))))","7"
"I(I(RadiusJpt)*I(I(sigmoid(I(RadiusJpt)))*I(PlanetaryDensJpt)))","I(I(RadiusJpt)*I(I(sigmoid(I(RadiusJpt)))*I(PlanetaryDensJpt)))","1"
"I(I(RadiusJpt)*I(I(sini(I(PlanetaryDensJpt)))*I(RadiusJpt)))","I(I(RadiusJpt)*I(I(sini(I(PlanetaryDensJpt)))*I(RadiusJpt)))","1"
"I(I(RadiusJpt)*I(PlanetaryDensJpt))","I(I(RadiusJpt)*I(PlanetaryDensJpt))","12"
"I(I(RadiusJpt)*I(sini(I(PlanetaryDensJpt))))","I(I(RadiusJpt)*I(sini(I(PlanetaryDensJpt))))","1"
"I(I(SemiMajorAxisAU)*I(PeriodDays))","I(I(SemiMajorAxisAU)*I(PeriodDays))","1"
"I(I(SemiMajorAxisAU)*I(PlanetaryDensJpt))","I(I(SemiMajorAxisAU)*I(PlanetaryDensJpt))","1"
"I(I(sigmoid(I(RadiusJpt)))*I(PlanetaryDensJpt))","I(I(sigmoid(I(RadiusJpt)))*I(PlanetaryDensJpt))","3"
"I(I(sini(I(RadiusJpt)))*I(PlanetaryDensJpt))","I(I(sini(I(RadiusJpt)))*I(PlanetaryDensJpt))","1"
"I(I(to35(I(RadiusJpt)))*I(PlanetaryDensJpt))","I(I(to35(I(RadiusJpt)))*I(PlanetaryDensJpt))","1"
"I(I(troot(I(RadiusJpt)))*I(PlanetaryDensJpt))","I(I(troot(I(RadiusJpt)))*I(PlanetaryDensJpt))","2"
"I(PeriodDays)","I(PeriodDays)","13"
"I(PlanetaryDensJpt)","I(PlanetaryDensJpt)","38"
"I(RadiusJpt)","I(RadiusJpt)","25"
"I(SemiMajorAxisAU)","I(SemiMajorAxisAU)","14"
"I(sigmoid(I(PlanetaryDensJpt)))","I(sigmoid(I(PlanetaryDensJpt)))","1"
"I(to23(I(logi(I(I(PlanetaryDensJpt)*I(to23(I(RadiusJpt))))))))","I(to23(I(logi(I(I(PlanetaryDensJpt)*I(to23(I(RadiusJpt))))))))","1"
"I(to23(I(PlanetaryDensJpt)))","I(to23(I(PlanetaryDensJpt)))","1"
"I(to35(I(I(logi(I(RadiusJpt)))*I(troot(I(PlanetaryDensJpt))))))","I(to35(I(I(logi(I(RadiusJpt)))*I(troot(I(PlanetaryDensJpt))))))","1"
"I(to35(I(I(RadiusJpt)*I(troot(I(PlanetaryDensJpt))))))","I(to35(I(I(RadiusJpt)*I(troot(I(PlanetaryDensJpt))))))","1"
"I(to35(I(RadiusJpt)))","I(to35(I(RadiusJpt)))","1"
