"","V1","V2"
"I(I(HostStarTempK)*I(troot(I(PeriodDays))))","I(I(HostStarTempK)*I(troot(I(PeriodDays))))","4"
"I(I(I(HostStarTempK)*I(PeriodDays))*I(PeriodDays))","I(I(I(HostStarTempK)*I(PeriodDays))*I(PeriodDays))","1"
"I(I(I(PeriodDays)*I(PeriodDays))*I(HostStarRadiusSlrRad))","I(I(I(PeriodDays)*I(PeriodDays))*I(HostStarRadiusSlrRad))","1"
"I(I(I(PlanetaryDensJpt)*I(PeriodDays))*I(HostStarRadiusSlrRad))","I(I(I(PlanetaryDensJpt)*I(PeriodDays))*I(HostStarRadiusSlrRad))","1"
"I(I(I(sini(I(PeriodDays)))*I(Eccentricity))*I(sini(I(PeriodDays))))","I(I(I(sini(I(PeriodDays)))*I(Eccentricity))*I(sini(I(PeriodDays))))","1"
"I(I(I(troot(I(PeriodDays)))*I(HostStarTempK))*I(troot(I(PeriodDays))))","I(I(I(troot(I(PeriodDays)))*I(HostStarTempK))*I(troot(I(PeriodDays))))","1"
"I(I(I(troot(I(PeriodDays)))*I(troot(I(PeriodDays))))*I(HostStarTempK))","I(I(I(troot(I(PeriodDays)))*I(troot(I(PeriodDays))))*I(HostStarTempK))","1"
"I(I(logi(I(I(PeriodDays)*I(PeriodDays))))*I(PeriodDays))","I(I(logi(I(I(PeriodDays)*I(PeriodDays))))*I(PeriodDays))","1"
"I(I(PeriodDays)*I(HostStarMassSlrMass))","I(I(PeriodDays)*I(HostStarMassSlrMass))","2"
"I(I(PeriodDays)*I(HostStarMetallicity))","I(I(PeriodDays)*I(HostStarMetallicity))","5"
"I(I(PeriodDays)*I(HostStarRadiusSlrRad))","I(I(PeriodDays)*I(HostStarRadiusSlrRad))","2"
"I(I(PeriodDays)*I(I(PlanetaryMassJpt)*I(HostStarRadiusSlrRad)))","I(I(PeriodDays)*I(I(PlanetaryMassJpt)*I(HostStarRadiusSlrRad)))","1"
"I(I(PeriodDays)*I(I(RadiusJpt)*I(HostStarMetallicity)))","I(I(PeriodDays)*I(I(RadiusJpt)*I(HostStarMetallicity)))","1"
"I(I(PeriodDays)*I(logi(I(I(PeriodDays)*I(PeriodDays)))))","I(I(PeriodDays)*I(logi(I(I(PeriodDays)*I(PeriodDays)))))","1"
"I(I(PeriodDays)*I(PeriodDays))","I(I(PeriodDays)*I(PeriodDays))","18"
"I(I(PeriodDays)*I(PlanetaryDensJpt))","I(I(PeriodDays)*I(PlanetaryDensJpt))","3"
"I(I(PeriodDays)*I(PlanetaryMassJpt))","I(I(PeriodDays)*I(PlanetaryMassJpt))","3"
"I(I(PeriodDays)*I(RadiusJpt))","I(I(PeriodDays)*I(RadiusJpt))","1"
"I(I(PeriodDays)*I(sini(I(HostStarMassSlrMass))))","I(I(PeriodDays)*I(sini(I(HostStarMassSlrMass))))","1"
"I(I(PeriodDays)*I(troot(I(I(PeriodDays)*I(HostStarMassSlrMass)))))","I(I(PeriodDays)*I(troot(I(I(PeriodDays)*I(HostStarMassSlrMass)))))","1"
"I(I(PeriodDays)*I(troot(I(PeriodDays))))","I(I(PeriodDays)*I(troot(I(PeriodDays))))","1"
"I(I(PlanetaryDensJpt)*I(PeriodDays))","I(I(PlanetaryDensJpt)*I(PeriodDays))","9"
"I(I(PlanetaryMassJpt)*I(PeriodDays))","I(I(PlanetaryMassJpt)*I(PeriodDays))","4"
"I(I(RadiusJpt)*I(PeriodDays))","I(I(RadiusJpt)*I(PeriodDays))","3"
"I(I(sini(I(HostStarMassSlrMass)))*I(I(PeriodDays)*I(PlanetaryMassJpt)))","I(I(sini(I(HostStarMassSlrMass)))*I(I(PeriodDays)*I(PlanetaryMassJpt)))","1"
"I(I(sini(I(HostStarMassSlrMass)))*I(troot(I(I(PeriodDays)*I(PeriodDays)))))","I(I(sini(I(HostStarMassSlrMass)))*I(troot(I(I(PeriodDays)*I(PeriodDays)))))","1"
"I(I(to23(I(troot(I(PeriodDays)))))*I(HostStarTempK))","I(I(to23(I(troot(I(PeriodDays)))))*I(HostStarTempK))","1"
"I(I(to35(I(logi(I(PeriodDays)))))*I(HostStarMassSlrMass))","I(I(to35(I(logi(I(PeriodDays)))))*I(HostStarMassSlrMass))","1"
"I(I(troot(I(I(PeriodDays)*I(HostStarTempK))))*I(troot(I(PeriodDays))))","I(I(troot(I(I(PeriodDays)*I(HostStarTempK))))*I(troot(I(PeriodDays))))","1"
"I(I(troot(I(I(PeriodDays)*I(PeriodDays))))*I(HostStarTempK))","I(I(troot(I(I(PeriodDays)*I(PeriodDays))))*I(HostStarTempK))","5"
"I(I(troot(I(I(PeriodDays)*I(PeriodDays))))*I(troot(I(HostStarMassSlrMass))))","I(I(troot(I(I(PeriodDays)*I(PeriodDays))))*I(troot(I(HostStarMassSlrMass))))","1"
"I(I(troot(I(PeriodDays)))*I(HostStarMassSlrMass))","I(I(troot(I(PeriodDays)))*I(HostStarMassSlrMass))","3"
"I(I(troot(I(PeriodDays)))*I(HostStarMetallicity))","I(I(troot(I(PeriodDays)))*I(HostStarMetallicity))","1"
"I(I(troot(I(PeriodDays)))*I(HostStarTempK))","I(I(troot(I(PeriodDays)))*I(HostStarTempK))","3"
"I(I(troot(I(PeriodDays)))*I(troot(I(PeriodDays))))","I(I(troot(I(PeriodDays)))*I(troot(I(PeriodDays))))","9"
"I(I(troot(I(to23(I(troot(I(PeriodDays)))))))*I(PeriodDays))","I(I(troot(I(to23(I(troot(I(PeriodDays)))))))*I(PeriodDays))","1"
"I(logi(I(PeriodDays)))","I(logi(I(PeriodDays)))","2"
"I(PeriodDays)","I(PeriodDays)","62"
"I(sini(I(I(HostStarMassSlrMass)*I(troot(I(PeriodDays))))))","I(sini(I(I(HostStarMassSlrMass)*I(troot(I(PeriodDays))))))","1"
"I(sini(I(I(PeriodDays)*I(HostStarMetallicity))))","I(sini(I(I(PeriodDays)*I(HostStarMetallicity))))","1"
"I(to23(I(I(PeriodDays)*I(PeriodDays))))","I(to23(I(I(PeriodDays)*I(PeriodDays))))","1"
"I(to23(I(PeriodDays)))","I(to23(I(PeriodDays)))","1"
"I(to23(I(to23(I(troot(I(I(PeriodDays)*I(PeriodDays))))))))","I(to23(I(to23(I(troot(I(I(PeriodDays)*I(PeriodDays))))))))","1"
"I(to23(I(troot(I(I(HostStarTempK)*I(PeriodDays))))))","I(to23(I(troot(I(I(HostStarTempK)*I(PeriodDays))))))","1"
"I(to23(I(troot(I(I(PeriodDays)*I(HostStarTempK))))))","I(to23(I(troot(I(I(PeriodDays)*I(HostStarTempK))))))","1"
"I(to23(I(troot(I(PeriodDays)))))","I(to23(I(troot(I(PeriodDays)))))","3"
"I(to35(I(I(HostStarTempK)*I(PeriodDays))))","I(to35(I(I(HostStarTempK)*I(PeriodDays))))","1"
"I(to35(I(logi(I(PeriodDays)))))","I(to35(I(logi(I(PeriodDays)))))","1"
"I(to35(I(PeriodDays)))","I(to35(I(PeriodDays)))","2"
"I(to35(I(to23(I(troot(I(PeriodDays)))))))","I(to35(I(to23(I(troot(I(PeriodDays)))))))","1"
"I(to35(I(troot(I(PeriodDays)))))","I(to35(I(troot(I(PeriodDays)))))","1"
"I(troot(I(I(HostStarMassSlrMass)*I(PeriodDays))))","I(troot(I(I(HostStarMassSlrMass)*I(PeriodDays))))","1"
"I(troot(I(I(HostStarRadiusSlrRad)*I(I(PeriodDays)*I(PeriodDays)))))","I(troot(I(I(HostStarRadiusSlrRad)*I(I(PeriodDays)*I(PeriodDays)))))","1"
"I(troot(I(I(I(HostStarMassSlrMass)*I(PeriodDays))*I(I(HostStarMassSlrMass)*I(PeriodDays)))))","I(troot(I(I(I(HostStarMassSlrMass)*I(PeriodDays))*I(I(HostStarMassSlrMass)*I(PeriodDays)))))","1"
"I(troot(I(I(I(HostStarMassSlrMass)*I(PeriodDays))*I(PeriodDays))))","I(troot(I(I(I(HostStarMassSlrMass)*I(PeriodDays))*I(PeriodDays))))","1"
"I(troot(I(I(I(HostStarTempK)*I(PeriodDays))*I(I(HostStarTempK)*I(PeriodDays)))))","I(troot(I(I(I(HostStarTempK)*I(PeriodDays))*I(I(HostStarTempK)*I(PeriodDays)))))","1"
"I(troot(I(I(PeriodDays)*I(HostStarMassSlrMass))))","I(troot(I(I(PeriodDays)*I(HostStarMassSlrMass))))","2"
"I(troot(I(I(PeriodDays)*I(I(HostStarRadiusSlrRad)*I(PeriodDays)))))","I(troot(I(I(PeriodDays)*I(I(HostStarRadiusSlrRad)*I(PeriodDays)))))","1"
"I(troot(I(I(PeriodDays)*I(I(HostStarTempK)*I(PeriodDays)))))","I(troot(I(I(PeriodDays)*I(I(HostStarTempK)*I(PeriodDays)))))","1"
"I(troot(I(I(PeriodDays)*I(PeriodDays))))","I(troot(I(I(PeriodDays)*I(PeriodDays))))","20"
"I(troot(I(I(PeriodDays)*I(RadiusJpt))))","I(troot(I(I(PeriodDays)*I(RadiusJpt))))","1"
"I(troot(I(I(PeriodDays)*I(troot(I(PeriodDays))))))","I(troot(I(I(PeriodDays)*I(troot(I(PeriodDays))))))","1"
"I(troot(I(PeriodDays)))","I(troot(I(PeriodDays)))","7"
"I(troot(I(to23(I(PeriodDays)))))","I(troot(I(to23(I(PeriodDays)))))","5"
"I(troot(I(to23(I(troot(I(PeriodDays)))))))","I(troot(I(to23(I(troot(I(PeriodDays)))))))","1"
"I(troot(I(to35(I(PeriodDays)))))","I(troot(I(to35(I(PeriodDays)))))","1"
