neo,desn,absolute_magnitude,magnitude_slope,epoch,mean_anomaly,argument_of_perihelion,longitude_of_the_ascending_node,inclination,eccentricity,mean_motion,semi_major_axis,ref1,ref2,observations,oppostions,time_of_perihelion_passage, rms_residual,Polarization,rotation_period,computer,classification,desn,label,last_observation
1,4660,18.2,0.15,K167V,2.30518,158.02851,314.45463,1.43174,0.3599613,0.54261006,1.4887125,0,MPO365303,519,12,1981-2015,0.58,M-v,3Eh,MPCW,9803,-4660,Nereus,20150524
1,4769,16.9,0.15,K167V,147.0057,121.3662,325.5828,8.88537,0.4831416,0.89888618,1.0633255,0,MPO374903,249,15,1989-2016,0.7,M-v,3Eh,MPCW,9803,-4769,Castalia,20160418
1,4953,14.1,0.15,K167V,292.69584,77.76132,77.72743,24.38829,0.6575988,0.47747878,1.6211878,0,MPO347563,203,21,1974-2015,0.7,M-v,3Eh,MPCW,9803,-4953,1990_MU,20150916
1,5011,16.4,0.15,K167V,200.57864,105.75197,10.77995,7.40758,0.4999117,0.47115953,1.6356513,1,MPO305460,528,18,1960-2014,0.47,M-h,3Eh,MPCLINUX,9803,-5011,Ptah,20140730
1,5189,17.8,0.15,K167V,168.34372,159.65125,135.33657,3.58368,0.4781127,0.51008434,1.5513438,1,MPO374909,259,14,1990-2016,0.43,M-h,3Eh,MPCLINUX,9803,-5189,1990_UQ,20160306
1,5604,17.1,0.15,K167V,205.90982,82.4351,312.12476,4.7395,0.406036,1.10120965,0.9287298,2,MPO374913,330,13,1985-2016,0.59,M-h,3Eh,MPCLINUX,9802,-5604,1992_FE,20160328
1,5693,16.6,0.15,K167V,299.27247,258.87189,97.06226,5.05456,0.5853905,0.68778083,1.2710696,1,MPO374914,954,21,1986-2016,0.51,M-h,3Eh,MPCLINUX,9803,-5693,1993_EA,20160411
1,6037,18.7,0.15,K167V,346.86377,242.07153,182.48067,3.49965,0.4995655,0.68768166,1.2711918,0,MPO299005,395,12,1988-2014,0.69,M-v,3Eh,MPCW,8803,-6037,1988_EG,20140628
1,6239,18.5,0.15,K167V,350.90898,239.6622,344.61727,3.94493,0.4127793,0.79766244,1.1514806,1,MPO371031,870,15,1983-2015,0.45,M-h,3Eh,MPCLINUX,8803,-6239,Minos,20151202
1,6489,19.2,0.15,K167V,117.31877,68.55815,209.54991,2.26661,0.6125058,0.25162267,2.4848654,0,MPO355155,935,7,1991-2015,0.71,M-v,3Eh,MPCW,8803,-6489,Golevka,20151013
