"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"16","I(V28)","0.999999999999998","I(V27)","0.997298402933886","I(V28)","0.000215902098344135","I(V28)","1","I(V24)","0.999999999999998","I(V30)","0.0029282915842149","I(V28)","0.00905440499660552","I(V30)","1","I(V22)","0.999999999999998","I(V28)","0.000249502873623206"
"17","I(V30)","5.33466548421839e-05","I(V28)","0.000190660992130917","I(V30)","1","I(V30)","1","I(V28)","0.0581464953853256","I(V32)","0.999945789449061","I(V30)","1","I(V32)","1","I(V24)","0.999999999794197","I(V30)","1"
"18","I(V32)","0.99999999999999","I(V30)","0.999999999999999","I(V32)","0.999999999602808","I(V32)","0.999999999998693","I(V30)","0.140463146315048","I(V48)","0.999999999999998","I(V32)","0.999999999999906","I(V48)","1","I(V28)","0.999999999999998","I(V32)","1"
"19","I(V48)","0.999999999992794","I(V32)","0.999999994162625","I(V34)","0.00366241362869956","I(V48)","0.0768016706741072","I(V32)","0.999999999999998","I(V50)","0.000232793096825334","I(V48)","1","I(V50)","1","I(V30)","0.999999999999998","I(V48)","5.48552472256356e-05"
"20","I(V50)","0.999999999999998","I(V48)","0.999999999999999","I(V48)","0.999999999974928","I(V50)","1","I(V48)","0.148083151505678","I((V5)&(V8))","0.999999999999998","I(V50)","1","I((V3)&(V11))","1.23763897565868e-07","I(V31)","0.955373408025231","I(V50)","0.000746104127841849"
"21","I((V3)|(V33))","8.46686103689466e-05","I(V50)","0.999999999999999","I(V50)","0.000709018388063997","I((V20)&(V22))","1.15025858713329e-06","I(V50)","0.999999999999998","I((V28)&(V21))","6.60336426675849e-08","I((V1)|(V48))","1","I((V32)&(V7))","4.45248454716342e-09","I(V32)","0.999999999802782","I((V22)&(V28))","1"
"22","I((V11)&(V4))","4.49726448230318e-08","I((V13)|(V7))","0.999999985790807","I((V32)&(V27))","0.000217833695600434","I((V32)&(V12))","3.58643410582223e-06","I((V28)&(V31))","0.0418729151520147","I((V28)&((V2)|(V32)))","0.99999999999916","I((V8)&(V12))","5.90046905233186e-06","I((V5)&(V31))","6.23157168831056e-09","I(V48)","0.000690852932305092","I((V1)&(V3))","8.88293362437634e-05"
"23","I((V2)&((V32)&(V22)))","4.20819010708625e-08","I((V22)&(V28))","0.999999999999999","I((V7)&(V32))","0.000259067143464441","I((V48)&(V1))","1","I((V12)&(V5))","0.999999999999998","I((V3)&(V50))","0.999999999999998","I((V24)&(V7))","1.31433754153286e-06","I((V8)&(V5))","1","I(V50)","0.999999999999998","I((V32)&(V36))","8.18795061518654e-05"
"24","I((V2)&(V22))","0.999999999999998","I((V12)&(V5))","0.999999999999999","I((V11)&(V8))","0.00446886159766733","I((V2)&(V22))","1","I((V1)&(V7))","0.0908168962938707","I((V10)&(V30))","0.999999999999998","I((V30)&((V8)|((V12)&(V5))))","8.21132208668465e-11","I((V8)&(V26))","4.31545074278996e-09","I((V5)&(V8))","0.999999999999998","I((V50)&(V3))","1"
"25","I((V30)&(V10))","0.999999999999998","I((V20)&((V16)&(V19)))","0.999999999999999","I((V2)&(V28))","1","I((V11)&(V3))","1.16818819115139e-06","I((V5)&((V22)&((V2)&(V28))))","1.25412841140139e-08","I((V22)&(V28))","0.999999999999998","I((V48)|(V3))","7.15337673819205e-06","I((V10)|((V5)&(V31)))","5.08474642461542e-10","I((V4)|(V50))","0.987663774590837","I((V10)&(V12))","7.26206153562683e-05"
"26","I((V22)&(V33))","4.75081746517987e-08","I((V4)&((V13)|(V7)))","1.60390631164353e-05","I((V19)&(V4))","0.000386478911044375","I((V24)&(V48))","0.000292524574044609","I((V19)&(V16))","0.999999976090582","I((V12)&(V8))","0.999999999999998","I((V2)&(V22))","1","I((V2)&(V12))","4.71233767740783e-09","I((V19)&(V13))","0.999999997795057","I((V5)&(V8))","1"
"27","I((V5)&(V50))","1.98425003053605e-06","I((V30)|(V45))","0.984029709914178","I((V3)&(V50))","1","I((V16)&((V48)&(V1)))","2.13166617224496e-10","I((V5)&(V8))","0.999999999999998","I((V32)&(V7))","1.02227701105724e-07","I((V12)&(V5))","1","I((V20)|(V13))","1.24413837419778e-09","I((V31)&((V32)&(V24)))","3.97054791228636e-05","I(((V5)&(V8))&(V47))","8.03642062248534e-09"
"28","I((V12)&(V8))","0.999999999999998","I((V11)&(V24))","7.62065522326004e-05","I((V5)|(V8))","1","I((V30)&(V32))","2.30248410900727e-06","I((V22)&((V2)&(V28)))","0.999999999999998","I((V16)&(V20))","0.999999999999998","I((V2)&(V28))","1","I((V3)|(V50))","1","I((V1)&(V48))","0.999999999999998","I((V12)|((V5)&(V8)))","1"
"29","I((V13)&(V48))","6.15058719755111e-08","I(((V11)&(V10))&(V30))","0.999999999999999","I((V5)&(V12))","1","I((V12)&((V5)&(V8)))","1","I((V10)&(V30))","0.999999999999998","I((V11)&((V16)&(V20)))","1.5349528827522e-10","I((V8)|((V12)&(V5)))","1","I((V48)&(V32))","9.61742487656487e-12","I((V16)&(V20))","0.999999999911331","I((V1)&(V48))","1"
"30","I((V3)&(V2))","3.15402132181657e-08","I((V11)&(V10))","0.999990872241299","I((V30)&(V4))","2.75942178432043e-08","I((V5)&(V47))","2.62713784849285e-08","I((V48)&(V1))","0.999999999999998","I((V1)&(V38))","2.18817891553101e-07","I(((V12)&(V5))&(V4))","0.00117921899750056","I((V2)&((V28)&(V22)))","1","I((V32)&(V24))","1.87726667623321e-05","I(((V13)&((V19)&(V16)))&(V20))","1"
