"","V1","V2"
"I(I(I(RadiusJpt)*I(I(PlanetaryDensJpt)*I(RadiusJpt)))*I(RadiusJpt))","I(I(I(RadiusJpt)*I(I(PlanetaryDensJpt)*I(RadiusJpt)))*I(RadiusJpt))","5"
"I(I(I(RadiusJpt)*I(I(RadiusJpt)*I(PlanetaryDensJpt)))*I(RadiusJpt))","I(I(I(RadiusJpt)*I(I(RadiusJpt)*I(PlanetaryDensJpt)))*I(RadiusJpt))","4"
"I(I(I(RadiusJpt)*I(PlanetaryDensJpt))*I(I(RadiusJpt)*I(RadiusJpt)))","I(I(I(RadiusJpt)*I(PlanetaryDensJpt))*I(I(RadiusJpt)*I(RadiusJpt)))","1"
"I(I(I(RadiusJpt)*I(PlanetaryDensJpt))*I(RadiusJpt))","I(I(I(RadiusJpt)*I(PlanetaryDensJpt))*I(RadiusJpt))","3"
"I(I(I(RadiusJpt)*I(sini(I(I(PlanetaryDensJpt)*I(RadiusJpt)))))*I(RadiusJpt))","I(I(I(RadiusJpt)*I(sini(I(I(PlanetaryDensJpt)*I(RadiusJpt)))))*I(RadiusJpt))","1"
"I(I(I(RadiusJpt)*I(to23(I(RadiusJpt))))*I(PlanetaryDensJpt))","I(I(I(RadiusJpt)*I(to23(I(RadiusJpt))))*I(PlanetaryDensJpt))","1"
"I(I(logi(I(RadiusJpt)))*I(I(to23(I(RadiusJpt)))*I(PlanetaryDensJpt)))","I(I(logi(I(RadiusJpt)))*I(I(to23(I(RadiusJpt)))*I(PlanetaryDensJpt)))","1"
"I(I(logi(I(RadiusJpt)))*I(PlanetaryDensJpt))","I(I(logi(I(RadiusJpt)))*I(PlanetaryDensJpt))","1"
"I(I(PeriodDays)*I(PlanetaryDensJpt))","I(I(PeriodDays)*I(PlanetaryDensJpt))","1"
"I(I(PlanetaryDensJpt)*I(expi(I(RadiusJpt))))","I(I(PlanetaryDensJpt)*I(expi(I(RadiusJpt))))","1"
"I(I(PlanetaryDensJpt)*I(PeriodDays))","I(I(PlanetaryDensJpt)*I(PeriodDays))","1"
"I(I(PlanetaryDensJpt)*I(RadiusJpt))","I(I(PlanetaryDensJpt)*I(RadiusJpt))","12"
"I(I(PlanetaryDensJpt)*I(SemiMajorAxisAU))","I(I(PlanetaryDensJpt)*I(SemiMajorAxisAU))","1"
"I(I(PlanetaryDensJpt)*I(sigmoid(I(RadiusJpt))))","I(I(PlanetaryDensJpt)*I(sigmoid(I(RadiusJpt))))","3"
"I(I(PlanetaryDensJpt)*I(sini(I(RadiusJpt))))","I(I(PlanetaryDensJpt)*I(sini(I(RadiusJpt))))","2"
"I(I(PlanetaryDensJpt)*I(to23(I(RadiusJpt))))","I(I(PlanetaryDensJpt)*I(to23(I(RadiusJpt))))","1"
"I(I(PlanetaryDensJpt)*I(to35(I(RadiusJpt))))","I(I(PlanetaryDensJpt)*I(to35(I(RadiusJpt))))","4"
"I(I(PlanetaryDensJpt)*I(troot(I(RadiusJpt))))","I(I(PlanetaryDensJpt)*I(troot(I(RadiusJpt))))","1"
"I(I(RadiusJpt)*I(I(I(logi(I(RadiusJpt)))*I(PlanetaryDensJpt))*I(RadiusJpt)))","I(I(RadiusJpt)*I(I(I(logi(I(RadiusJpt)))*I(PlanetaryDensJpt))*I(RadiusJpt)))","1"
"I(I(RadiusJpt)*I(I(I(PlanetaryDensJpt)*I(RadiusJpt))*I(RadiusJpt)))","I(I(RadiusJpt)*I(I(I(PlanetaryDensJpt)*I(RadiusJpt))*I(RadiusJpt)))","7"
"I(I(RadiusJpt)*I(I(I(RadiusJpt)*I(PlanetaryDensJpt))*I(RadiusJpt)))","I(I(RadiusJpt)*I(I(I(RadiusJpt)*I(PlanetaryDensJpt))*I(RadiusJpt)))","6"
"I(I(RadiusJpt)*I(I(I(RadiusJpt)*I(RadiusJpt))*I(PlanetaryDensJpt)))","I(I(RadiusJpt)*I(I(I(RadiusJpt)*I(RadiusJpt))*I(PlanetaryDensJpt)))","3"
"I(I(RadiusJpt)*I(I(PlanetaryDensJpt)*I(I(RadiusJpt)*I(RadiusJpt))))","I(I(RadiusJpt)*I(I(PlanetaryDensJpt)*I(I(RadiusJpt)*I(RadiusJpt))))","6"
"I(I(RadiusJpt)*I(I(PlanetaryDensJpt)*I(RadiusJpt)))","I(I(RadiusJpt)*I(I(PlanetaryDensJpt)*I(RadiusJpt)))","3"
"I(I(RadiusJpt)*I(I(RadiusJpt)*I(I(PlanetaryDensJpt)*I(RadiusJpt))))","I(I(RadiusJpt)*I(I(RadiusJpt)*I(I(PlanetaryDensJpt)*I(RadiusJpt))))","3"
"I(I(RadiusJpt)*I(I(RadiusJpt)*I(I(RadiusJpt)*I(PlanetaryDensJpt))))","I(I(RadiusJpt)*I(I(RadiusJpt)*I(I(RadiusJpt)*I(PlanetaryDensJpt))))","5"
"I(I(RadiusJpt)*I(I(RadiusJpt)*I(PlanetaryDensJpt)))","I(I(RadiusJpt)*I(I(RadiusJpt)*I(PlanetaryDensJpt)))","3"
"I(I(RadiusJpt)*I(PlanetaryDensJpt))","I(I(RadiusJpt)*I(PlanetaryDensJpt))","2"
"I(I(RadiusJpt)*I(sini(I(I(RadiusJpt)*I(I(RadiusJpt)*I(PlanetaryDensJpt))))))","I(I(RadiusJpt)*I(sini(I(I(RadiusJpt)*I(I(RadiusJpt)*I(PlanetaryDensJpt))))))","1"
"I(I(SemiMajorAxisAU)*I(expi(I(PeriodDays))))","I(I(SemiMajorAxisAU)*I(expi(I(PeriodDays))))","1"
"I(I(sini(I(I(RadiusJpt)*I(I(PlanetaryDensJpt)*I(RadiusJpt)))))*I(RadiusJpt))","I(I(sini(I(I(RadiusJpt)*I(I(PlanetaryDensJpt)*I(RadiusJpt)))))*I(RadiusJpt))","1"
"I(I(to23(I(RadiusJpt)))*I(I(PlanetaryDensJpt)*I(RadiusJpt)))","I(I(to23(I(RadiusJpt)))*I(I(PlanetaryDensJpt)*I(RadiusJpt)))","1"
"I(I(to23(I(RadiusJpt)))*I(I(RadiusJpt)*I(PlanetaryDensJpt)))","I(I(to23(I(RadiusJpt)))*I(I(RadiusJpt)*I(PlanetaryDensJpt)))","2"
"I(I(to23(I(RadiusJpt)))*I(PlanetaryDensJpt))","I(I(to23(I(RadiusJpt)))*I(PlanetaryDensJpt))","3"
"I(I(to35(I(RadiusJpt)))*I(I(PlanetaryDensJpt)*I(RadiusJpt)))","I(I(to35(I(RadiusJpt)))*I(I(PlanetaryDensJpt)*I(RadiusJpt)))","1"
"I(I(to35(I(RadiusJpt)))*I(PlanetaryDensJpt))","I(I(to35(I(RadiusJpt)))*I(PlanetaryDensJpt))","1"
"I(logi(I(I(to23(I(RadiusJpt)))*I(PlanetaryDensJpt))))","I(logi(I(I(to23(I(RadiusJpt)))*I(PlanetaryDensJpt))))","1"
"I(PeriodDays)","I(PeriodDays)","4"
"I(PlanetaryDensJpt)","I(PlanetaryDensJpt)","22"
"I(RadiusJpt)","I(RadiusJpt)","16"
"I(SemiMajorAxisAU)","I(SemiMajorAxisAU)","5"
"I(sini(I(I(RadiusJpt)*I(PlanetaryDensJpt))))","I(sini(I(I(RadiusJpt)*I(PlanetaryDensJpt))))","1"
"I(sini(I(logi(I(I(to23(I(RadiusJpt)))*I(PlanetaryDensJpt))))))","I(sini(I(logi(I(I(to23(I(RadiusJpt)))*I(PlanetaryDensJpt))))))","1"
"I(TypeFlag)","I(TypeFlag)","1"
